--
-- TOC entry 4910 (class 0 OID 41045)
-- Dependencies: 221
-- Data for Name: dim_centro_distribuicao; Type: TABLE DATA; Schema: dw; Owner: -
--

COPY dw.dim_centro_distribuicao (id_centro, cd_id, nome_centro_distribuicao, regiao, cidade, estado, capacidade_armazenagem, tipo_cd) FROM stdin;
211	1	CD Joinville	Norte	\N	\N	5000	Regional
2024-05-23	1	P1003	Produto D	186	290	ENTRADA	-98
2024-06-09	1	P1003	Produto E	49	10	ENTRADA	-59
2024-06-13	1	P1003	Produto F	18	22	ENTRADA	-63
2024-06-23	1	P1003	Produto D	225	160	ENTRADA	2
2024-06-26	1	P1003	Produto F	126	159	ENTRADA	-31
2024-01-27	2	P1003	Produto F	219	128	ENTRADA	91
2024-02-01	2	P1003	Produto F	209	74	ENTRADA	226
2024-02-08	2	P1003	Produto A	100	112	ENTRADA	214
2024-02-21	2	P1003	Produto A	220	41	ENTRADA	393
2024-03-01	2	P1003	Produto F	160	15	ENTRADA	538
2024-03-04	2	P1003	Produto C	228	288	ENTRADA	478
2024-03-06	2	P1003	Produto B	205	275	ENTRADA	408
2024-03-12	2	P1003	Produto E	278	173	ENTRADA	513
2024-03-16	2	P1003	Produto D	155	81	ENTRADA	587
2024-03-21	2	P1003	Produto C	117	190	ENTRADA	514
2024-03-29	2	P1003	Produto D	241	68	ENTRADA	687
2024-03-29	2	P1003	Produto C	196	266	ENTRADA	617
2024-04-05	2	P1003	Produto F	135	279	ENTRADA	473
2024-04-13	2	P1003	Produto F	100	154	ENTRADA	419
2024-04-20	2	P1003	Produto F	119	54	ENTRADA	484
2024-04-26	2	P1003	Produto F	172	46	ENTRADA	610
2024-05-11	2	P1003	Produto D	46	106	ENTRADA	550
2024-05-19	2	P1003	Produto D	32	178	ENTRADA	404
2024-05-20	2	P1003	Produto D	91	178	ENTRADA	317
2024-05-21	2	P1003	Produto E	224	151	ENTRADA	390
2024-06-01	2	P1003	Produto E	145	41	ENTRADA	494
2024-06-08	2	P1003	Produto B	270	272	ENTRADA	492
2024-06-10	2	P1003	Produto D	59	210	ENTRADA	341
2024-01-10	3	P1003	Produto C	84	213	ENTRADA	-129
2024-01-17	3	P1003	Produto B	107	235	ENTRADA	-257
2024-01-22	3	P1003	Produto A	290	113	ENTRADA	-80
2024-01-25	3	P1003	Produto C	92	159	ENTRADA	-147
2024-02-07	3	P1003	Produto A	118	27	ENTRADA	-56
2024-02-08	3	P1003	Produto E	126	45	ENTRADA	25
2024-02-16	3	P1003	Produto B	263	281	ENTRADA	7
2024-02-17	3	P1003	Produto F	182	27	ENTRADA	162
2024-03-02	3	P1003	Produto D	13	228	ENTRADA	-53
2024-03-03	3	P1003	Produto A	54	153	ENTRADA	-152
2024-03-05	3	P1003	Produto D	262	266	ENTRADA	-156
2024-03-12	3	P1003	Produto F	83	280	ENTRADA	-353
2024-03-13	3	P1003	Produto D	292	233	ENTRADA	-294
2024-04-13	3	P1003	Produto F	133	66	ENTRADA	-227
2024-04-26	3	P1003	Produto F	83	154	ENTRADA	-298
2024-04-28	3	P1003	Produto D	99	162	ENTRADA	-361
2024-05-08	3	P1003	Produto A	132	147	ENTRADA	-376
2024-05-09	3	P1003	Produto D	291	281	ENTRADA	-366
2024-05-30	3	P1003	Produto C	157	76	ENTRADA	-285
2024-06-05	3	P1003	Produto B	270	138	ENTRADA	-153
2024-06-10	3	P1003	Produto A	295	59	ENTRADA	83
2024-06-12	3	P1003	Produto D	46	232	ENTRADA	-103
2024-06-28	3	P1003	Produto D	50	260	ENTRADA	-313
2024-01-04	4	P1003	Produto F	46	77	ENTRADA	-31
2024-01-19	4	P1003	Produto E	173	90	ENTRADA	52
2024-01-29	4	P1003	Produto C	6	28	ENTRADA	30
2024-02-05	4	P1003	Produto C	243	200	ENTRADA	73
2024-02-11	4	P1003	Produto F	166	278	ENTRADA	-39
2024-02-17	4	P1003	Produto A	127	32	ENTRADA	56
2024-02-21	4	P1003	Produto D	62	242	ENTRADA	-124
2024-03-22	4	P1003	Produto B	102	272	ENTRADA	-294
2024-04-06	4	P1003	Produto A	135	69	ENTRADA	-228
2024-04-26	4	P1003	Produto F	257	293	ENTRADA	-264
2024-04-27	4	P1003	Produto A	6	121	ENTRADA	-379
2024-05-27	4	P1003	Produto B	146	147	ENTRADA	-380
2024-05-31	4	P1003	Produto A	103	253	ENTRADA	-530
2024-06-07	4	P1003	Produto E	227	182	ENTRADA	-485
2024-06-18	4	P1003	Produto F	187	6	ENTRADA	-304
2024-06-24	4	P1003	Produto F	136	244	ENTRADA	-412
2024-01-25	5	P1003	Produto C	225	123	ENTRADA	102
2024-02-06	5	P1003	Produto D	197	294	ENTRADA	5
2024-02-11	5	P1003	Produto B	250	294	ENTRADA	-39
2024-02-22	5	P1003	Produto E	10	142	ENTRADA	-171
2024-02-28	5	P1003	Produto E	267	49	ENTRADA	47
2024-03-10	5	P1003	Produto E	119	177	ENTRADA	-11
2024-03-15	5	P1003	Produto D	96	4	ENTRADA	81
2024-03-28	5	P1003	Produto C	182	40	ENTRADA	223
2024-04-08	5	P1003	Produto D	28	58	ENTRADA	193
2024-04-19	5	P1003	Produto B	295	202	ENTRADA	286
2024-05-03	5	P1003	Produto F	195	273	ENTRADA	208
2024-05-08	5	P1003	Produto A	103	223	ENTRADA	88
2024-05-10	5	P1003	Produto B	182	38	ENTRADA	232
2024-05-13	5	P1003	Produto A	17	189	ENTRADA	60
2024-05-30	5	P1003	Produto E	35	284	ENTRADA	-189
2024-06-07	5	P1003	Produto D	5	196	ENTRADA	-380
2024-06-09	5	P1003	Produto D	33	40	ENTRADA	-387
2024-06-24	5	P1003	Produto D	174	98	ENTRADA	-311
2024-01-09	6	P1003	Produto B	128	159	ENTRADA	-31
2024-01-21	6	P1003	Produto B	98	72	ENTRADA	-5
2024-02-10	6	P1003	Produto A	37	74	ENTRADA	-42
2024-02-14	6	P1003	Produto D	103	194	ENTRADA	-133
2024-02-19	6	P1003	Produto E	244	29	ENTRADA	82
2024-02-22	6	P1003	Produto E	247	277	ENTRADA	52
2024-02-24	6	P1003	Produto F	142	100	ENTRADA	94
2024-03-02	6	P1003	Produto D	125	41	ENTRADA	178
2024-03-03	6	P1003	Produto E	136	201	ENTRADA	113
2024-03-03	6	P1003	Produto C	12	188	ENTRADA	-63
2024-03-10	6	P1003	Produto D	100	263	ENTRADA	-226
2024-03-19	6	P1003	Produto B	291	246	ENTRADA	-181
2024-04-19	6	P1003	Produto A	11	15	ENTRADA	-185
2024-04-28	6	P1003	Produto B	98	81	ENTRADA	-168
2024-05-11	6	P1003	Produto B	107	267	ENTRADA	-328
2024-05-30	6	P1003	Produto F	249	195	ENTRADA	-274
2024-05-31	6	P1003	Produto B	158	56	ENTRADA	-172
2024-06-06	6	P1003	Produto C	71	258	ENTRADA	-359
2024-06-29	6	P1003	Produto C	199	297	ENTRADA	-457
2024-01-03	7	P1003	Produto B	235	185	ENTRADA	50
2024-01-13	7	P1003	Produto C	85	283	ENTRADA	-148
2024-01-16	7	P1003	Produto B	9	124	ENTRADA	-263
2024-01-25	7	P1003	Produto C	228	107	ENTRADA	-142
2024-02-05	7	P1003	Produto A	68	129	ENTRADA	-203
2024-04-13	7	P1003	Produto F	0	166	ENTRADA	-422
2024-04-13	7	P1003	Produto B	137	179	ENTRADA	-245
2024-04-13	7	P1003	Produto A	218	229	ENTRADA	-256
2024-05-06	7	P1003	Produto D	207	21	ENTRADA	-236
2024-05-09	7	P1003	Produto C	4	265	ENTRADA	-497
2024-05-09	7	P1003	Produto D	95	189	ENTRADA	-591
2024-05-26	7	P1003	Produto A	15	181	ENTRADA	-757
2024-06-05	7	P1003	Produto B	161	86	ENTRADA	-682
2024-06-09	7	P1003	Produto C	206	267	ENTRADA	-743
2024-06-11	7	P1003	Produto B	77	76	ENTRADA	-742
2024-06-16	7	P1003	Produto F	188	254	ENTRADA	-808
2024-06-19	7	P1003	Produto E	229	19	ENTRADA	-598
2024-01-06	8	P1003	Produto D	58	58	ENTRADA	-33
2024-01-06	8	P1003	Produto C	105	138	ENTRADA	-33
2024-01-08	8	P1003	Produto D	243	122	ENTRADA	88
2024-01-14	8	P1003	Produto D	187	97	ENTRADA	178
2024-01-16	8	P1003	Produto A	39	236	ENTRADA	-19
2024-01-17	8	P1003	Produto C	278	208	ENTRADA	51
2024-01-20	8	P1003	Produto D	0	63	ENTRADA	-129
2024-01-20	8	P1003	Produto C	267	206	ENTRADA	-68
2024-01-20	8	P1003	Produto F	64	181	ENTRADA	-66
2024-02-07	8	P1003	Produto E	175	89	ENTRADA	18
2024-02-07	8	P1003	Produto B	119	199	ENTRADA	-62
2024-02-08	8	P1003	Produto B	293	150	ENTRADA	81
2024-02-09	8	P1003	Produto F	191	92	ENTRADA	180
2024-02-14	8	P1003	Produto E	214	87	ENTRADA	307
2024-02-19	8	P1003	Produto D	59	166	ENTRADA	200
2024-03-02	8	P1003	Produto E	80	214	ENTRADA	66
2024-03-03	8	P1003	Produto F	225	152	ENTRADA	139
2024-03-04	8	P1003	Produto A	228	269	ENTRADA	170
2024-03-04	8	P1003	Produto F	131	59	ENTRADA	211
2024-03-08	8	P1003	Produto D	189	283	ENTRADA	76
2024-03-12	8	P1003	Produto B	110	186	ENTRADA	0
2024-03-21	8	P1003	Produto D	142	200	ENTRADA	-58
2024-04-08	8	P1003	Produto D	209	295	ENTRADA	-144
2024-04-12	8	P1003	Produto D	111	223	ENTRADA	-256
2024-04-14	8	P1003	Produto C	28	136	ENTRADA	-364
2024-04-14	8	P1003	Produto F	255	8	ENTRADA	-117
2024-04-17	8	P1003	Produto F	147	7	ENTRADA	23
2024-04-20	8	P1003	Produto E	163	23	ENTRADA	163
2024-04-22	8	P1003	Produto F	184	98	ENTRADA	249
2024-04-24	8	P1003	Produto B	134	49	ENTRADA	334
2024-05-09	8	P1003	Produto E	208	71	ENTRADA	471
2024-05-11	8	P1003	Produto E	167	192	ENTRADA	446
2024-05-24	8	P1003	Produto D	57	228	ENTRADA	275
2024-05-24	8	P1003	Produto C	268	119	ENTRADA	424
2024-06-06	8	P1003	Produto F	214	127	ENTRADA	511
2024-06-09	8	P1003	Produto C	191	248	ENTRADA	454
2024-06-17	8	P1003	Produto F	56	221	ENTRADA	289
2024-06-30	8	P1003	Produto E	225	102	ENTRADA	412
2024-01-08	9	P1003	Produto F	157	214	ENTRADA	-57
2024-01-23	9	P1003	Produto A	285	272	ENTRADA	-44
2024-01-26	9	P1003	Produto B	56	179	ENTRADA	-167
2024-02-16	9	P1003	Produto B	92	231	ENTRADA	-306
2024-02-29	9	P1003	Produto B	212	215	ENTRADA	-309
2024-03-05	9	P1003	Produto D	80	87	ENTRADA	-316
2024-03-11	9	P1003	Produto B	294	195	ENTRADA	-217
2024-03-22	9	P1003	Produto E	128	88	ENTRADA	-177
2024-03-26	9	P1003	Produto D	117	232	ENTRADA	-292
2024-04-10	9	P1003	Produto C	205	184	ENTRADA	-271
2024-04-21	9	P1003	Produto A	193	162	ENTRADA	-90
2024-04-21	9	P1003	Produto F	196	46	ENTRADA	-121
2024-05-08	9	P1003	Produto F	120	115	ENTRADA	-85
2024-05-11	9	P1003	Produto B	247	272	ENTRADA	-110
2024-05-15	9	P1003	Produto F	270	194	ENTRADA	-34
2024-05-29	9	P1003	Produto F	274	200	ENTRADA	40
2024-06-04	9	P1003	Produto B	117	99	ENTRADA	58
2024-06-09	9	P1003	Produto F	175	38	ENTRADA	195
2024-06-17	9	P1003	Produto B	31	286	ENTRADA	-60
2024-01-11	10	P1003	Produto A	75	86	ENTRADA	-11
2024-01-25	10	P1003	Produto F	209	16	ENTRADA	182
2024-02-11	10	P1003	Produto D	16	282	ENTRADA	-84
2024-02-28	10	P1003	Produto C	48	31	ENTRADA	-67
2024-02-29	10	P1003	Produto D	45	14	ENTRADA	-36
2024-03-01	10	P1003	Produto E	162	142	ENTRADA	-16
2024-03-16	10	P1003	Produto C	108	187	ENTRADA	-95
2024-03-18	10	P1003	Produto C	33	96	ENTRADA	-158
2024-03-26	10	P1003	Produto C	92	175	ENTRADA	-241
2024-04-19	10	P1003	Produto B	217	240	ENTRADA	-264
2024-04-25	10	P1003	Produto C	234	61	ENTRADA	-91
2024-05-04	10	P1003	Produto F	129	214	ENTRADA	-176
2024-05-18	10	P1003	Produto F	269	79	ENTRADA	14
2024-05-26	10	P1003	Produto F	68	48	ENTRADA	34
2024-06-04	10	P1003	Produto E	215	169	ENTRADA	80
2024-06-08	10	P1003	Produto F	121	137	ENTRADA	64
2024-06-09	10	P1003	Produto D	209	195	ENTRADA	78
2024-06-18	10	P1003	Produto E	157	38	ENTRADA	197
2024-06-23	10	P1003	Produto C	197	127	ENTRADA	267
2024-06-26	10	P1003	Produto C	276	4	ENTRADA	539
2024-01-02	1	P1004	Produto C	29	266	ENTRADA	-237
2024-01-16	1	P1004	Produto B	282	180	ENTRADA	-135
2024-01-19	1	P1004	Produto A	75	176	ENTRADA	-236
2024-01-20	1	P1004	Produto A	89	141	ENTRADA	-288
2024-02-12	1	P1004	Produto D	296	213	ENTRADA	-205
2024-02-14	1	P1004	Produto C	71	108	ENTRADA	-242
2024-02-14	1	P1004	Produto E	245	116	ENTRADA	-113
2024-02-24	1	P1004	Produto D	2	143	ENTRADA	-254
2024-02-28	1	P1004	Produto B	104	227	ENTRADA	-377
2024-03-04	1	P1004	Produto A	141	202	ENTRADA	-438
2024-03-08	1	P1004	Produto F	192	21	ENTRADA	-267
2024-03-21	1	P1004	Produto E	182	191	ENTRADA	-276
2024-03-28	1	P1004	Produto F	210	218	ENTRADA	-284
2024-04-01	1	P1004	Produto E	105	198	ENTRADA	-410
2024-04-01	1	P1004	Produto A	24	57	ENTRADA	-317
2024-04-10	1	P1004	Produto C	272	280	ENTRADA	-418
2024-04-10	1	P1004	Produto A	11	243	ENTRADA	-650
2024-04-15	1	P1004	Produto B	50	28	ENTRADA	-628
2024-04-22	1	P1004	Produto B	242	142	ENTRADA	-528
2024-04-25	1	P1004	Produto D	150	49	ENTRADA	-427
2024-05-04	1	P1004	Produto E	197	178	ENTRADA	-408
2024-05-21	1	P1004	Produto B	43	268	ENTRADA	-633
2024-05-22	1	P1004	Produto B	198	142	ENTRADA	-577
2024-06-05	1	P1004	Produto F	230	156	ENTRADA	-406
2024-06-05	1	P1004	Produto C	216	119	ENTRADA	-480
2024-06-25	1	P1004	Produto E	68	86	ENTRADA	-424
2024-06-30	1	P1004	Produto C	97	207	ENTRADA	-534
2024-01-02	2	P1004	Produto C	278	145	ENTRADA	133
2024-01-10	2	P1004	Produto A	5	214	ENTRADA	-76
2024-01-13	2	P1004	Produto B	157	146	ENTRADA	-65
2024-01-24	2	P1004	Produto C	71	59	ENTRADA	-53
2024-01-27	2	P1004	Produto C	180	23	ENTRADA	104
2024-02-02	2	P1004	Produto A	243	297	ENTRADA	50
2024-02-15	2	P1004	Produto F	192	180	ENTRADA	62
2024-02-18	2	P1004	Produto F	29	83	ENTRADA	8
2024-02-23	2	P1004	Produto B	37	200	ENTRADA	-155
2024-03-12	2	P1004	Produto F	83	110	ENTRADA	-182
2024-03-15	2	P1004	Produto A	73	252	ENTRADA	-361
2024-03-19	2	P1004	Produto F	294	242	ENTRADA	-309
2024-05-02	2	P1004	Produto A	53	235	ENTRADA	-491
2024-05-05	2	P1004	Produto F	177	2	ENTRADA	-316
2024-05-09	2	P1004	Produto A	143	15	ENTRADA	-188
2024-06-01	2	P1004	Produto B	8	39	ENTRADA	-219
2024-06-03	2	P1004	Produto D	99	140	ENTRADA	-260
2024-06-07	2	P1004	Produto B	205	76	ENTRADA	-131
2024-06-16	2	P1004	Produto A	1	224	ENTRADA	-354
2024-06-21	2	P1004	Produto F	57	147	ENTRADA	-444
2024-06-29	2	P1004	Produto A	131	217	ENTRADA	-530
2024-01-15	3	P1004	Produto D	130	134	ENTRADA	-4
2024-01-16	3	P1004	Produto F	192	57	ENTRADA	-59
2024-01-16	3	P1004	Produto E	45	235	ENTRADA	-194
2024-01-20	3	P1004	Produto B	99	77	ENTRADA	-37
2024-02-01	3	P1004	Produto B	210	149	ENTRADA	24
2024-02-06	3	P1004	Produto D	213	217	ENTRADA	20
2024-02-15	3	P1004	Produto B	101	41	ENTRADA	80
2024-02-17	3	P1004	Produto F	119	160	ENTRADA	39
2024-02-19	3	P1004	Produto E	277	170	ENTRADA	247
2024-02-19	3	P1004	Produto C	282	181	ENTRADA	140
2024-03-03	3	P1004	Produto D	252	1	ENTRADA	498
2024-03-05	3	P1004	Produto E	127	238	ENTRADA	387
2024-03-13	3	P1004	Produto A	259	259	ENTRADA	387
2024-03-15	3	P1004	Produto F	153	195	ENTRADA	345
2024-03-23	3	P1004	Produto E	128	195	ENTRADA	278
2024-04-30	3	P1004	Produto E	172	9	ENTRADA	441
2024-05-09	3	P1004	Produto D	260	292	ENTRADA	409
2024-05-16	3	P1004	Produto E	206	209	ENTRADA	406
2024-05-28	3	P1004	Produto E	223	290	ENTRADA	339
2024-06-18	3	P1004	Produto A	31	14	ENTRADA	356
2024-06-19	3	P1004	Produto B	160	140	ENTRADA	376
2024-06-25	3	P1004	Produto B	95	151	ENTRADA	320
2024-06-26	3	P1004	Produto C	126	270	ENTRADA	176
2024-01-05	4	P1004	Produto A	120	285	ENTRADA	-165
2024-02-29	4	P1004	Produto E	292	126	ENTRADA	1
2024-04-13	4	P1004	Produto C	48	174	ENTRADA	-249
2024-04-13	4	P1004	Produto D	48	172	ENTRADA	-123
2024-04-14	4	P1004	Produto F	82	185	ENTRADA	-352
2024-04-27	4	P1004	Produto A	106	174	ENTRADA	-420
2024-05-08	4	P1004	Produto C	53	53	ENTRADA	-420
2024-05-11	4	P1004	Produto B	23	226	ENTRADA	-623
2024-05-25	4	P1004	Produto D	18	299	ENTRADA	-904
2024-06-02	4	P1004	Produto B	202	40	ENTRADA	-742
2024-06-10	4	P1004	Produto F	222	58	ENTRADA	-578
2024-06-22	4	P1004	Produto A	19	272	ENTRADA	-831
2024-06-24	4	P1004	Produto C	286	90	ENTRADA	-635
2024-06-25	4	P1004	Produto E	232	75	ENTRADA	-478
2024-06-28	4	P1004	Produto A	230	37	ENTRADA	-285
2024-01-08	5	P1004	Produto C	100	259	ENTRADA	-159
2024-01-16	5	P1004	Produto E	134	227	ENTRADA	-252
2024-02-09	5	P1004	Produto F	219	74	ENTRADA	-107
2024-02-12	5	P1004	Produto C	253	37	ENTRADA	109
2024-02-22	5	P1004	Produto F	46	143	ENTRADA	12
2024-02-24	5	P1004	Produto F	176	294	ENTRADA	-106
2024-03-10	5	P1004	Produto F	64	20	ENTRADA	-62
2024-03-20	5	P1004	Produto A	291	202	ENTRADA	27
2024-03-21	5	P1004	Produto F	149	287	ENTRADA	-111
2024-04-16	5	P1004	Produto B	62	149	ENTRADA	-198
2024-04-23	5	P1004	Produto D	247	53	ENTRADA	-4
2024-05-14	5	P1004	Produto B	67	213	ENTRADA	-150
2024-05-15	5	P1004	Produto A	126	256	ENTRADA	-280
2024-05-18	5	P1004	Produto B	211	111	ENTRADA	-180
2024-05-30	5	P1004	Produto A	182	12	ENTRADA	-10
2024-06-09	5	P1004	Produto E	219	239	ENTRADA	-30
2024-06-09	5	P1004	Produto F	225	141	ENTRADA	54
2024-06-19	5	P1004	Produto C	64	167	ENTRADA	-49
2024-06-21	5	P1004	Produto C	88	71	ENTRADA	-32
2024-06-24	5	P1004	Produto A	253	221	ENTRADA	0
2024-06-28	5	P1004	Produto E	150	143	ENTRADA	7
2024-01-25	6	P1004	Produto A	119	92	ENTRADA	-21
2024-01-25	6	P1004	Produto B	223	271	ENTRADA	-48
2024-01-26	6	P1004	Produto B	165	277	ENTRADA	-133
2024-02-04	6	P1004	Produto F	76	146	ENTRADA	-203
2024-02-09	6	P1004	Produto F	165	130	ENTRADA	-168
2024-02-10	6	P1004	Produto D	83	289	ENTRADA	-374
2024-02-13	6	P1004	Produto B	144	50	ENTRADA	-280
2024-02-25	6	P1004	Produto C	245	236	ENTRADA	-271
2024-03-15	6	P1004	Produto E	213	143	ENTRADA	-201
2024-03-21	6	P1004	Produto A	272	57	ENTRADA	14
2024-03-30	6	P1004	Produto D	38	71	ENTRADA	-19
2024-04-01	6	P1004	Produto A	298	153	ENTRADA	126
2024-05-05	6	P1004	Produto F	212	148	ENTRADA	190
2024-05-09	6	P1004	Produto E	150	156	ENTRADA	184
2024-05-14	6	P1004	Produto D	206	128	ENTRADA	262
2024-06-29	6	P1004	Produto B	86	216	ENTRADA	132
2024-01-04	7	P1004	Produto A	203	193	ENTRADA	10
2024-01-08	7	P1004	Produto B	2	27	ENTRADA	-15
2024-01-09	7	P1004	Produto F	222	51	ENTRADA	156
2024-01-10	7	P1004	Produto F	145	26	ENTRADA	275
2024-01-12	7	P1004	Produto B	105	84	ENTRADA	296
2024-01-20	7	P1004	Produto B	123	163	ENTRADA	256
2024-01-25	7	P1004	Produto B	100	8	ENTRADA	348
2024-01-30	7	P1004	Produto C	103	117	ENTRADA	334
2024-02-19	7	P1004	Produto A	128	293	ENTRADA	169
2024-02-22	7	P1004	Produto A	272	63	ENTRADA	378
2024-03-19	7	P1004	Produto B	3	89	ENTRADA	292
2024-03-20	7	P1004	Produto F	72	162	ENTRADA	202
2024-03-21	7	P1004	Produto E	196	157	ENTRADA	241
2024-03-23	7	P1004	Produto C	272	5	ENTRADA	508
2024-04-05	7	P1004	Produto A	127	38	ENTRADA	597
2024-04-08	7	P1004	Produto B	111	59	ENTRADA	649
2024-04-14	7	P1004	Produto B	113	74	ENTRADA	688
2024-04-16	7	P1004	Produto C	17	148	ENTRADA	557
2024-04-28	7	P1004	Produto E	13	2	ENTRADA	568
2024-04-30	7	P1004	Produto C	83	154	ENTRADA	497
2024-05-11	7	P1004	Produto D	259	75	ENTRADA	681
2024-05-18	7	P1004	Produto C	91	279	ENTRADA	493
2024-05-23	7	P1004	Produto D	178	118	ENTRADA	553
2024-05-29	7	P1004	Produto E	165	67	ENTRADA	651
2024-06-02	7	P1004	Produto C	281	96	ENTRADA	836
2024-06-05	7	P1004	Produto A	127	228	ENTRADA	735
2024-06-17	7	P1004	Produto E	48	129	ENTRADA	654
2024-01-16	8	P1004	Produto A	265	64	ENTRADA	201
2024-03-21	8	P1004	Produto E	20	83	ENTRADA	138
2024-04-03	8	P1004	Produto B	38	27	ENTRADA	149
2024-04-08	8	P1004	Produto D	117	262	ENTRADA	4
2024-06-05	8	P1004	Produto A	276	248	ENTRADA	32
2024-06-06	8	P1004	Produto B	219	162	ENTRADA	89
2024-06-16	8	P1004	Produto F	200	147	ENTRADA	142
2024-01-07	9	P1004	Produto E	67	33	ENTRADA	34
2024-01-22	9	P1004	Produto B	282	40	ENTRADA	276
2024-01-29	9	P1004	Produto C	151	13	ENTRADA	414
2024-02-16	9	P1004	Produto F	160	197	ENTRADA	377
2024-02-18	9	P1004	Produto D	206	47	ENTRADA	536
2024-02-20	9	P1004	Produto A	1	7	ENTRADA	530
2024-02-21	9	P1004	Produto A	277	39	ENTRADA	768
2024-02-25	9	P1004	Produto D	67	248	ENTRADA	587
2024-02-29	9	P1004	Produto A	35	212	ENTRADA	410
2024-03-11	9	P1004	Produto F	214	276	ENTRADA	348
2024-03-22	9	P1004	Produto D	37	210	ENTRADA	175
2024-03-23	9	P1004	Produto E	28	18	ENTRADA	185
2024-04-10	9	P1004	Produto C	144	200	ENTRADA	129
2024-05-08	9	P1004	Produto D	213	282	ENTRADA	60
2024-06-02	9	P1004	Produto D	40	156	ENTRADA	52
2024-06-02	9	P1004	Produto E	292	299	ENTRADA	45
2024-06-02	9	P1004	Produto A	278	170	ENTRADA	168
2024-01-12	10	P1004	Produto E	241	215	ENTRADA	26
2024-01-12	10	P1004	Produto D	296	163	ENTRADA	159
2024-01-16	10	P1004	Produto F	226	169	ENTRADA	216
2024-01-19	10	P1004	Produto B	125	293	ENTRADA	48
2024-01-19	10	P1004	Produto B	216	153	ENTRADA	111
2024-01-24	10	P1004	Produto C	289	180	ENTRADA	220
2024-01-28	10	P1004	Produto D	68	233	ENTRADA	55
2024-02-20	10	P1004	Produto C	159	95	ENTRADA	119
2024-03-03	10	P1004	Produto A	236	31	ENTRADA	324
2024-03-04	10	P1004	Produto B	244	61	ENTRADA	507
2024-03-09	10	P1004	Produto D	117	174	ENTRADA	450
2024-03-20	10	P1004	Produto D	253	23	ENTRADA	680
2024-03-30	10	P1004	Produto E	178	62	ENTRADA	796
2024-04-02	10	P1004	Produto F	256	132	ENTRADA	920
2024-04-17	10	P1004	Produto D	245	129	ENTRADA	1036
2024-05-09	10	P1004	Produto C	206	80	ENTRADA	1162
2024-05-09	10	P1004	Produto D	18	295	ENTRADA	885
2024-06-08	10	P1004	Produto E	144	49	ENTRADA	980
2024-06-16	10	P1004	Produto A	99	73	ENTRADA	1006
2024-06-28	10	P1004	Produto E	179	136	ENTRADA	1049
2024-01-02	1	P1005	Produto D	89	262	ENTRADA	-173
2024-01-09	1	P1005	Produto F	71	154	ENTRADA	-256
2024-01-12	1	P1005	Produto B	102	249	ENTRADA	-403
2024-01-18	1	P1005	Produto B	83	290	ENTRADA	-610
2024-01-25	1	P1005	Produto D	24	67	ENTRADA	-653
2024-02-08	1	P1005	Produto D	46	62	ENTRADA	-669
2024-02-11	1	P1005	Produto E	6	154	ENTRADA	-817
2024-02-12	1	P1005	Produto A	291	7	ENTRADA	-533
2024-02-18	1	P1005	Produto F	258	143	ENTRADA	-418
2024-03-02	1	P1005	Produto E	285	143	ENTRADA	-276
2024-03-28	1	P1005	Produto C	62	103	ENTRADA	-317
2024-04-04	1	P1005	Produto F	235	136	ENTRADA	-218
2024-04-05	1	P1005	Produto D	147	17	ENTRADA	-88
2024-04-10	1	P1005	Produto A	56	11	ENTRADA	-43
2024-04-20	1	P1005	Produto D	146	3	ENTRADA	100
2024-04-25	1	P1005	Produto A	33	78	ENTRADA	55
2024-05-01	1	P1005	Produto C	177	61	ENTRADA	171
2024-05-02	1	P1005	Produto C	272	82	ENTRADA	361
2024-05-05	1	P1005	Produto B	98	97	ENTRADA	362
2024-05-11	1	P1005	Produto B	66	74	ENTRADA	354
2024-05-31	1	P1005	Produto D	0	265	ENTRADA	89
2024-06-23	1	P1005	Produto F	141	111	ENTRADA	119
2024-01-22	2	P1005	Produto F	250	96	ENTRADA	154
2024-01-24	2	P1005	Produto A	17	56	ENTRADA	115
2024-01-27	2	P1005	Produto F	96	283	ENTRADA	-72
2024-02-04	2	P1005	Produto E	275	171	ENTRADA	32
2024-02-05	2	P1005	Produto A	214	277	ENTRADA	-31
2024-02-24	2	P1005	Produto A	246	254	ENTRADA	-39
2024-03-14	2	P1005	Produto C	241	34	ENTRADA	168
2024-03-18	2	P1005	Produto D	100	155	ENTRADA	113
2024-03-21	2	P1005	Produto F	114	185	ENTRADA	42
2024-03-22	2	P1005	Produto E	19	220	ENTRADA	-159
2024-04-12	2	P1005	Produto F	93	268	ENTRADA	-334
2024-04-18	2	P1005	Produto F	86	200	ENTRADA	-448
2024-04-22	2	P1005	Produto F	171	133	ENTRADA	-410
2024-04-26	2	P1005	Produto F	295	257	ENTRADA	-372
2024-04-30	2	P1005	Produto A	19	74	ENTRADA	-427
2024-05-08	2	P1005	Produto E	47	244	ENTRADA	-624
2024-05-21	2	P1005	Produto E	82	122	ENTRADA	-664
2024-05-25	2	P1005	Produto E	220	59	ENTRADA	-503
2024-06-02	2	P1005	Produto A	83	176	ENTRADA	-691
2024-06-02	2	P1005	Produto A	200	295	ENTRADA	-598
2024-06-12	2	P1005	Produto C	238	83	ENTRADA	-536
2024-06-20	2	P1005	Produto B	83	100	ENTRADA	-553
2024-06-22	2	P1005	Produto D	98	38	ENTRADA	-493
2024-06-27	2	P1005	Produto F	109	253	ENTRADA	-637
